"X","Deal.Type","Primary.Asset.Type","Investors.Buyers.Firms.","Bought.From.Sellers.Firms.","Asset.Cities","Assets.Types","Assets","Buyer.Type","Seller.Type","Deal.Size.Usd.Mn.","No.Of.Assets","Total.Size.Sq.Ft.","distance.x","Year_Month","Town","distance","Fed_Rate","Labor_Force","Employment","Unemployment","Unemployment_Rate","HomeValue","Date_Year","Estimate.Own.children.under.6.years","Estimate.Own.children.6.to.17.years","Estimate.Car..truck..or.van....drove.alone","Estimate.Car..truck..or.van....carpooled","Estimate.Public.transportation..excluding.taxicab.","Estimate.Walked","Estimate.Worked.at.home","Estimate.Mean.travel.time.to.work..minutes.","Estimate.Management..business..science..and.arts.occupations","Estimate.Service.occupations","Estimate.Sales.and.office.occupations","Estimate.Natural.resources..construction..and.maintenance.occupations","Estimate.Production..transportation..and.material.moving.occupations","Estimate.Agriculture..forestry..fishing.and.hunting..and.mining","Estimate.Construction","Estimate.Manufacturing","Estimate.Wholesale.trade","Estimate.Retail.trade","Estimate.Transportation.and.warehousing..and.utilities","Estimate.Information","Estimate.Finance.and.insurance..and.real.estate.and.rental.and.leasing","Estimate.Professional..scientific..and.management..and.administrative.and.waste.management.services","Estimate.Educational.services..and.health.care.and.social.assistance","Estimate.Arts..entertainment..and.recreation..and.accommodation.and.food.services","Estimate.Other.services..except.public.administration","Estimate.Public.administration","Estimate.Private.wage.and.salary.workers","Estimate.Government.workers","Estimate.Self.employed.in.own.not.incorporated.business.workers","Estimate.Unpaid.family.workers","Estimate.Median.household.income..dollars.","Estimate.With.earnings","Estimate.With.Social.Security","Estimate.With.retirement.income","Estimate.With.Supplemental.Security.Income","Estimate.With.cash.public.assistance.income","Estimate.With.Food.Stamp.SNAP.benefits.in.the.past.12.months","Estimate.With.health.insurance.coverage","Estimate.With.health.insurance.coverage..With.private.health.insurance","Estimate.With.health.insurance.coverage..With.public.coverage","Estimate.No.health.insurance.coverage","Opportunity_Zone","Year","Address","longitude","latitude","long_center","lat_center","sanity_check","full_address","lat.census.town","lon.census.town"
2536,"Single Asset","Residential","Revere Investments","Unidentified Seller/s","Anaheim","Residential, Multi-Family","Calabria Apartments","Fund Manager","Other",7.48,NA,43700,NA,"2012-06","Anaheim",313.790014815924,0.16,6449516,5777616,671900,10.4,346962.777550379,2012,"32150","54674","115500","18309","9239","2265","5232",27.4,"41823","34776","41171","15674","23172",796,11515,19503,4893,19657,6052,2820,10062,19158,27903,22004,8894,3359,132813,13882,9798,123,55464,82871,22357,12428,6078,3001,12577,254671,159544,111245,86932,1,2012,"Calabria Apartments, Anaheim, California",-117.9143012,33.8365932,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
2478,"Single Asset","Office","Kennedy Wilson","Beacon Capital Partners, MPG Office Trust, Inc.","Anaheim","Office","Stadium Gateway","Fund Manager","Fund Manager",56,NA,272826,NA,"2012-07","Anaheim",4352.34786562393,0.16,6453381,5788882,664499,10.3,347270.718540927,2012,"32150","54674","115500","18309","9239","2265","5232",27.4,"41823","34776","41171","15674","23172",796,11515,19503,4893,19657,6052,2820,10062,19158,27903,22004,8894,3359,132813,13882,9798,123,55464,82871,22357,12428,6078,3001,12577,254671,159544,111245,86932,1,2012,"Stadium Gateway, Anaheim, California",-117.8884089,33.8007933,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
2211,"Single Asset","Residential","Bridge Investment Group","Unidentified Seller/s","Anaheim","Residential, Multi-Family","Coronado Palms","Fund Manager","Other",9.5,NA,151067,NA,"2013-06","Anaheim",3242.77351292838,0.09,6531162,5935454,595708,9.1,402519.226916896,2013,"27204","56165","121213","22819","5170","2548","5298",28.3,"50009","35518","37789","14614","25318",592,11190,23599,7029,17511,4896,2854,12625,18991,30439,21205,8277,4040,139762,15545,7734,207,57550,85037,23421,13730,5995,2748,10444,271991,183644,104539,70770,1,2013,"Coronado Palms, Anaheim, California",-117.9394871,33.8169486,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1992,"Single Asset","Residential","Hanover Real Estate Investors, Strategic Realty Capital","Unidentified Seller/s","Anaheim","Residential, Multi-Family","Echo116 Apartment Homes","Fund Manager, Fund Manager","Other",9.5,NA,NA,NA,"2014-01","Anaheim",313.790014815924,0.07,6506195,5975023,531172,8.2,449823.042524894,2014,"28351","55040","125517","22344","7098","3089","5829",29.1,"51438","34532","44539","14107","25173",735,12611,24073,6830,18532,5388,3145,11699,21395,27585,24014,9208,4574,144086,15250,10054,399,62198,84814,22515,12289,5425,3580,11879,289139,189148,118698,55337,1,2014,"Echo116 Apartment Homes, Anaheim, California",-117.9143012,33.8365932,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1901,"Single Asset","Industrial","Unidentified Buyer/s","Penwood Real Estate Investment Management","Anaheim","Industrial, Distribution Warehouse","2201 East Cerritos Avenue","Other","Fund Manager",27.3,NA,209715,NA,"2014-04","Anaheim",3457.33065109232,0.09,6525163,6017075,508088,7.8,457902.629516979,2014,"28351","55040","125517","22344","7098","3089","5829",29.1,"51438","34532","44539","14107","25173",735,12611,24073,6830,18532,5388,3145,11699,21395,27585,24014,9208,4574,144086,15250,10054,399,62198,84814,22515,12289,5425,3580,11879,289139,189148,118698,55337,1,2014,"2201 East Cerritos Avenue, Anaheim, California",-117.8862678,33.8120125,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1683,"Single Asset","Residential","Hanover Real Estate Investors, Strategic Realty Capital","Unidentified Seller/s","Anaheim","Residential, Multi-Family, Garden/Low Rise Multi-Family","Azul Apartment Homes","Fund Manager, Fund Manager","Other",27.3,NA,NA,NA,"2014-10","Anaheim",6040.3295685355,0.09,6581477,6101031,480446,7.3,470798.025778957,2014,"28351","55040","125517","22344","7098","3089","5829",29.1,"51438","34532","44539","14107","25173",735,12611,24073,6830,18532,5388,3145,11699,21395,27585,24014,9208,4574,144086,15250,10054,399,62198,84814,22515,12289,5425,3580,11879,289139,189148,118698,55337,1,2014,"Azul Apartment Homes, Anaheim, California",-117.9757528,33.8455527,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1687,"Single Asset","Residential","Hanover Real Estate Investors","Unidentified Seller/s","Anaheim","Residential, Multi-Family","Hacienda Court Apartments","Fund Manager","Other",27.3,NA,NA,NA,"2014-10","Anaheim",4124.04615558828,0.09,6581477,6101031,480446,7.3,470798.025778957,2014,"28351","55040","125517","22344","7098","3089","5829",29.1,"51438","34532","44539","14107","25173",735,12611,24073,6830,18532,5388,3145,11699,21395,27585,24014,9208,4574,144086,15250,10054,399,62198,84814,22515,12289,5425,3580,11879,289139,189148,118698,55337,1,2014,"Hacienda Court Apartments, Anaheim, California",-117.9044189,33.7982063,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1494,"Single Asset","Mixed Use","Rexford Industrial","Unidentified Seller/s","Anaheim","Industrial, Office","1210-1230 North Red Gum Street","Fund Manager","Other",7.7,NA,64570,NA,"2015-03","Anaheim",4873.22430828838,0.11,6576429,6135991,440438,6.7,487671.302302035,2015,"27226","55295","134457","21099","5102","4061","4985",27.6,"48669","38856","40624","20082","27686",567,16389,22960,7497,16750,5392,3863,11051,24061,31111,23349,8440,4487,151551,15372,8763,231,63104,86444,22206,13204,5244,2441,11086,298139,184743,132700,50285,1,2015,"1210-1230 North Red Gum Street, Anaheim, California",-117.8644771,33.8541433,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1461,"Single Asset","Residential","Greystar Real Estate Partners","CIM Group","Anaheim","Residential, Multi-Family","Promenade at Anaheim","Fund Manager","Fund Manager",72.13,NA,271758,NA,"2015-04","Anaheim",313.790014815924,0.12,6574427,6141816,432611,6.6,489619.683258655,2015,"27226","55295","134457","21099","5102","4061","4985",27.6,"48669","38856","40624","20082","27686",567,16389,22960,7497,16750,5392,3863,11051,24061,31111,23349,8440,4487,151551,15372,8763,231,63104,86444,22206,13204,5244,2441,11086,298139,184743,132700,50285,1,2015,"Promenade at Anaheim, Anaheim, California",-117.9143012,33.8365932,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1487,"Single Asset","Residential","Intercontinental Real Estate Corporation, MG Properties","Pacific Urban Investors","Anaheim","Residential, Multi-Family, Garden/Low Rise Multi-Family","Madison Park","Fund Manager, Fund Manager","Fund Manager",122,NA,615500,NA,"2015-04","Anaheim",4599.11502018191,0.12,6574427,6141816,432611,6.6,489619.683258655,2015,"27226","55295","134457","21099","5102","4061","4985",27.6,"48669","38856","40624","20082","27686",567,16389,22960,7497,16750,5392,3863,11051,24061,31111,23349,8440,4487,151551,15372,8763,231,63104,86444,22206,13204,5244,2441,11086,298139,184743,132700,50285,1,2015,"Madison Park, Anaheim, California",-117.9609782,33.828967,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1373,"Single Asset","Mixed Use","Unidentified Buyer/s","CIM Group","Anaheim","Residential, Street Retail, Retail","Broadway Arms","Other","Fund Manager",122,NA,NA,NA,"2015-06","Anaheim",416.64566973269,0.13,6561061,6150129,410932,6.3,492118.612651183,2015,"27226","55295","134457","21099","5102","4061","4985",27.6,"48669","38856","40624","20082","27686",567,16389,22960,7497,16750,5392,3863,11051,24061,31111,23349,8440,4487,151551,15372,8763,231,63104,86444,22206,13204,5244,2441,11086,298139,184743,132700,50285,1,2015,"Broadway Arms, Anaheim, California",-117.9157921,33.8331285,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1377,"Single Asset","Mixed Use","Unidentified Buyer/s","CIM Group","Anaheim","Residential, Street Retail, Retail","Carnegie Plaza","Other","Fund Manager",122,NA,NA,NA,"2015-06","Anaheim",266.399442029831,0.13,6561061,6150129,410932,6.3,492118.612651183,2015,"27226","55295","134457","21099","5102","4061","4985",27.6,"48669","38856","40624","20082","27686",567,16389,22960,7497,16750,5392,3863,11051,24061,31111,23349,8440,4487,151551,15372,8763,231,63104,86444,22206,13204,5244,2441,11086,298139,184743,132700,50285,1,2015,"Carnegie Plaza, Anaheim, California",-117.9142559,33.8335976,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1067,"Single Asset","Office","Oaktree Capital Management, Hines","Unidentified Seller/s","Anaheim","Office","Fifty-Five Fifteen","Fund Manager, Fund Manager","Other",122,NA,155351,NA,"2016-01","Anaheim",7751.94715618856,0.34,6566194,6221261,344933,5.3,482722.946054947,2016,"28998","55917","126514","21499","6565","2693","5288",29.4,"49240","39571","39221","14768","26098",723,10670,21650,8243,20990,7519,2748,9346,19725,29470,24919,8084,4811,143836,15609,9166,287,64464,86512,23352,12208,6939,2860,12911,310108,187942,143070,39224,1,2016,"Fifty-Five Fifteen, Anaheim, California",-117.8318663,33.8136047,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
1035,"Single Asset","Retail","Western Avenue Capital","Unidentified Seller/s","Anaheim","Retail, Shopping Center","Anaheim Lincoln Shopping Center","Fund Manager","Other",122,NA,73500,NA,"2016-02","Anaheim",258.155645986823,0.38,6575080,6235359,339721,5.2,485014.416741826,2016,"28998","55917","126514","21499","6565","2693","5288",29.4,"49240","39571","39221","14768","26098",723,10670,21650,8243,20990,7519,2748,9346,19725,29470,24919,8084,4811,143836,15609,9166,287,64464,86512,23352,12208,6939,2860,12911,310108,187942,143070,39224,1,2016,"Anaheim Lincoln Shopping Center, Anaheim, California",-117.914185,33.835859,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
806,"Single Asset","Residential","Unidentified Buyer/s","Interstate Equities Corporation","Anaheim","Residential, Multi-Family","French Country Apartments","Other","Fund Manager",7,NA,NA,NA,"2016-08","Anaheim",7488.11849315171,0.4,6635622,6302657,332965,5,527569.035128249,2016,"28998","55917","126514","21499","6565","2693","5288",29.4,"49240","39571","39221","14768","26098",723,10670,21650,8243,20990,7519,2748,9346,19725,29470,24919,8084,4811,143836,15609,9166,287,64464,86512,23352,12208,6939,2860,12911,310108,187942,143070,39224,1,2016,"French Country Apartments, Anaheim, California",-117.9898865,33.8171584,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
719,"Single Asset","Industrial","Bentall Kennedy","Clarion Partners, Panattoni Development Company","Anaheim","Industrial, Flex","Anaheim Concourse","Fund Manager","Fund Manager, Fund Manager",188.2,NA,965255,NA,"2016-10","Anaheim",7896.49279570686,0.4,6651824,6319897,331927,5,522680.091464391,2016,"28998","55917","126514","21499","6565","2693","5288",29.4,"49240","39571","39221","14768","26098",723,10670,21650,8243,20990,7519,2748,9346,19725,29470,24919,8084,4811,143836,15609,9166,287,64464,86512,23352,12208,6939,2860,12911,310108,187942,143070,39224,1,2016,"Anaheim Concourse, Anaheim, California",-117.8636742,33.7761239,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
693,"Single Asset","Industrial","Unidentified Buyer/s","Greenlaw Partners","Anaheim","Industrial, Flex","Tri-Freeway Business Park","Other","Fund Manager",29.45,NA,208824,NA,"2016-11","Anaheim",4081.80832559269,0.41,6658420,6329773,328647,4.9,516084.817557184,2016,"28998","55917","126514","21499","6565","2693","5288",29.4,"49240","39571","39221","14768","26098",723,10670,21650,8243,20990,7519,2748,9346,19725,29470,24919,8084,4811,143836,15609,9166,287,64464,86512,23352,12208,6939,2860,12911,310108,187942,143070,39224,1,2016,"Tri-Freeway Business Park, Anaheim, California",-117.9552205,33.8410515,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
611,"Single Asset","Mixed Use","Hines, Oaktree Capital Management","Unidentified Seller/s","Anaheim","Flex, Industrial, Development Site, Land, Government Building, Office, Retail, Mixed Use, Street Retail","Pacific Center","Fund Manager, Fund Manager","Other",29.45,NA,143000,NA,"2017-02","Anaheim",7065.78641427987,0.66,6686230,6372909,313321,4.7,520501.646555716,2017,"24178","55908","132530","19851","5363","3920","7324",27.7,"54164","34727","41939","17766","27465",481,14570,22331,6729,17716,7634,2804,12192,21854,30624,24047,11423,3656,148669,13831,13298,263,70395,84448,23392,13409,6079,2003,10419,305994,189176,135543,44591,1,2017,"Pacific Center, Anaheim, California",-117.8389065,33.8539957,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
508,"Single Asset","Office","Platform Ventures, PRES Real Estate","Unidentified Seller/s","Anaheim","Office","200 West Center Street Promenade","Fund Manager","Other",58.9,NA,191647,NA,"2017-05","Anaheim",391.273343889037,0.91,6712694,6408124,304570,4.5,551828.940720329,2017,"24178","55908","132530","19851","5363","3920","7324",27.7,"54164","34727","41939","17766","27465",481,14570,22331,6729,17716,7634,2804,12192,21854,30624,24047,11423,3656,148669,13831,13298,263,70395,84448,23392,13409,6079,2003,10419,305994,189176,135543,44591,1,2017,"200 West Center Street Promenade, Anaheim, California",-117.9157146,33.833564,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
529,"Single Asset","Residential","Unidentified Buyer/s","Univest","Anaheim","Residential, Multi-Family","Placentia Woods Apartments","Other","Fund Manager",11.7,NA,NA,NA,"2017-05","Anaheim",2930.71493265139,0.91,6712694,6408124,304570,4.5,551828.940720329,2017,"24178","55908","132530","19851","5363","3920","7324",27.7,"54164","34727","41939","17766","27465",481,14570,22331,6729,17716,7634,2804,12192,21854,30624,24047,11423,3656,148669,13831,13298,263,70395,84448,23392,13409,6079,2003,10419,305994,189176,135543,44591,1,2017,"Placentia Woods Apartments, Anaheim, California",-117.8878937,33.852104,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
479,"Single Asset","Office","CBRE Investment Management","Blackstone Group, Maguire Properties","Anaheim","Office","Stadium Towers Plaza","Fund Manager","Fund Manager",76.93,NA,260817,NA,"2017-06","Anaheim",4323.07523782619,1.04,6719830,6416653,303177,4.5,557848.214060865,2017,"24178","55908","132530","19851","5363","3920","7324",27.7,"54164","34727","41939","17766","27465",481,14570,22331,6729,17716,7634,2804,12192,21854,30624,24047,11423,3656,148669,13831,13298,263,70395,84448,23392,13409,6079,2003,10419,305994,189176,135543,44591,1,2017,"Stadium Towers Plaza, Anaheim, California",-117.8823462,33.8045502,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
346,"Single Asset","Residential","Canyon Partners, CIT Bank","Bridge Investment Group","Anaheim","Residential, Multi-Family","Coronado Palms","Fund Manager","Fund Manager",76.93,NA,151067,NA,"2017-09","Anaheim",3242.77351292838,1.15,6733268,6435632,297636,4.4,569404.10098744,2017,"24178","55908","132530","19851","5363","3920","7324",27.7,"54164","34727","41939","17766","27465",481,14570,22331,6729,17716,7634,2804,12192,21854,30624,24047,11423,3656,148669,13831,13298,263,70395,84448,23392,13409,6079,2003,10419,305994,189176,135543,44591,1,2017,"Coronado Palms, Anaheim, California",-117.9394871,33.8169486,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
262,"Single Asset","Industrial","Camphor Partners","Unidentified Seller/s","Anaheim","Distribution Warehouse, Industrial","2030 South State College Boulevard","Fund Manager","Other",32,1,1e+05,NA,"2019-06","Anaheim",4663.91354637629,2.38,6733116,6461972,271144,4,608094.751946751,2019,"26037","46743","144016","19110","5755","2621","7345",30.3,"62842","39012","41456","19175","23847",918,15793,22536,5531,17485,8204,3620,12864,23471,37525,25724,6683,5978,150420,21948,13375,589,76075,90708,24226,17804,6394,1365,9714,307799,209129,120568,40229,1,2019,"2030 South State College Boulevard, Anaheim, California",-117.8882432,33.7976775,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
243,"Single Asset","Industrial","Unidentified Buyer/s, JRC Real Estate Investment","AT&T Pension Fund","Anaheim","Industrial, Distribution Warehouse","5472 East La Palma Avenue","Other, Fund Manager","Investor",6.1,NA,NA,NA,"2019-10","Anaheim",10996.1470229424,1.83,6803432,6528468,274964,4,617868.180698162,2019,"26037","46743","144016","19110","5755","2621","7345",30.3,"62842","39012","41456","19175","23847",918,15793,22536,5531,17485,8204,3620,12864,23471,37525,25724,6683,5978,150420,21948,13375,589,76075,90708,24226,17804,6394,1365,9714,307799,209129,120568,40229,1,2019,"5472 East La Palma Avenue, Anaheim, California",-117.7960243,33.8576079,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
122,"Single Asset","Industrial","Penwood Real Estate Investment Management, EBS Realty Partners","Camphor Partners","Anaheim","Distribution Warehouse, Industrial","2030 South State College Boulevard","Fund Manager","Fund Manager",43.8,1,1e+05,NA,"2021-08","Anaheim",4663.91354637629,0.09,6598618,6084125,514493,7.8,751297.490958159,2021,"21103","52070","113970","19656","2727","2041","22243",27.8,"56714","32698","38401","14177","25084",1368,13804,19503,5471,17757,9757,3028,11257,20829,31283,17726,9062,6229,135639,20293,11077,65,81747,87388,27941,19624,8206,5648,14473,306126,190279,138650,38388,1,2021,"2030 South State College Boulevard, Anaheim, California",-117.8882432,33.7976775,-117.911732,33.8347516,"Pass","Anaheim, California",33.8347516,-117.911732
