"Town","Area"
"Fairfield, CA","Watsonville, CA"
"Fairfield, CA","Santa Maria, CA"
"Fairfield, CA","Santa Barbara, CA"
"Fairfield, CA","Santa Rosa, CA"
"Fairfield, CA","Stockton, CA"
"Fairfield, CA","Lodi, CA"
"Fairfield, CA","Vallejo, CA"
"Fairfield, CA","Fairfield, CA"
"Fairfield, CA","Visalia, CA"
"Fairfield, CA","Porterville, CA"
"Fairfield, CA","Yuba City, CA"
"Florence-Graham, CA","Los Angeles, CA"
"Folsom, CA","Roseville, CA"
"Fontana, CA","Riverside, CA"
"Fremont, CA","Hayward, CA"
"Fresno, CA","Fresno, CA"
"Fullerton, CA","Anaheim, CA"
"Garden Grove, CA","Anaheim, CA"
"Glendale, CA","Los Angeles, CA"
"Hawthorne, CA","Los Angeles, CA"
"Hayward, CA","Hayward, CA"
"Hemet, CA","Riverside, CA"
"Hesperia, CA","Riverside, CA"
"Huntington Beach, CA","Anaheim, CA"
"Indio, CA","Riverside, CA"
"Inglewood, CA","Los Angeles, CA"
"Irvine, CA","Anaheim, CA"
"Jurupa Valley, CA","Riverside, CA"
"Laguna Niguel, CA","Anaheim, CA"
"Lake Elsinore, CA","Riverside, CA"
"Lake Forest, CA","Anaheim, CA"
"Lakewood, CA","Long Beach, CA"
"Lancaster, CA","Los Angeles, CA"
"Livermore, CA","Hayward, CA"
"Lodi, CA","Lodi, CA"
"Long Beach, CA","Long Beach, CA"
"Los Angeles, CA","Los Angeles, CA"
"Lynwood, CA","Los Angeles, CA"
"Madera, CA","Madera, CA"
"Manteca, CA","Stockton, CA"
"Menifee, CA","Riverside, CA"
"Merced, CA","Merced, CA"
"Milpitas, CA","Santa Clara, CA"
"Mission Viejo, CA","Anaheim, CA"
"Modesto, CA","Modesto, CA"
"Moreno Valley, CA","Riverside, CA"
"Mountain View, CA","Sunnyvale, CA"
"Murrieta, CA","Carlsbad, CA"
"Napa, CA","Napa, CA"
"Newport Beach, CA","Anaheim, CA"
"Norwalk, CA","Anaheim, CA"
"Oakland, CA","Oakland, CA"
"Oceanside, CA","Carlsbad, CA"
"Ontario, CA","Ontario, CA"
"Orange, CA","Anaheim, CA"
"Oxnard, CA","Oxnard, CA"
"Palmdale, CA","Los Angeles, CA"
"Palo Alto, CA","Sunnyvale, CA"
"Pasadena, CA","Los Angeles, CA"
"Perris, CA","Riverside, CA"
"Pittsburg, CA","Fairfield, CA"
"Pleasanton, CA","Hayward, CA"
"Pomona, CA","Anaheim, CA"
"Rancho Cordova, CA","Sacramento, CA"
"Rancho Cucamonga, CA","Riverside, CA"
"Redding, CA","Redding, CA"
"Redlands, CA","Riverside, CA"
"Redondo Beach, CA","Long Beach, CA"
"Redwood City, CA","Sunnyvale, CA"
"Rialto, CA","Riverside, CA"
"Richmond, CA","Redding, CA"
"Riverside, CA","Riverside, CA"
"Rocklin, CA","Roseville, CA"
"Roseville, CA","Roseville, CA"
"Sacramento, CA","Sacramento, CA"
"Salinas, CA","Salinas, CA"
"San Bernardino, CA","San Bernardino, CA"
"San Buenaventura (Ventura), CA","Oxnard, CA"
"San Clemente, CA","Carlsbad, CA"
"San Diego, CA","San Diego, CA"
"San Francisco, CA","San Francisco, CA"
"San Jose, CA","San Jose, CA"
"San Leandro, CA","Hayward, CA"
"San Marcos, CA","Carlsbad, CA"
"San Mateo, CA","Hayward, CA"
"San Ramon, CA","Hayward, CA"
"Santa Ana, CA","Anaheim, CA"
"Santa Barbara, CA","Santa Barbara, CA"
"Santa Clara, CA","Santa Clara, CA"
"Santa Clarita, CA","Thousand Oaks, CA"
"Santa Cruz, CA","Santa Cruz, CA"
"Santa Maria, CA","Santa Maria, CA"
"Santa Monica, CA","Los Angeles, CA"
"Santa Rosa, CA","Santa Rosa, CA"
"Simi Valley, CA","Thousand Oaks, CA"
"South Gate, CA","Los Angeles, CA"
"South San Francisco, CA","San Francisco, CA"
"South Whittier, CA","Anaheim, CA"
"Stockton, CA","Stockton, CA"
"Sunnyvale, CA","Sunnyvale, CA"
"Temecula, CA","Carlsbad, CA"
"Thousand Oaks, CA","Thousand Oaks, CA"
"Torrance, CA","Long Beach, CA"
"Tracy, CA","Stockton, CA"
"Tulare, CA","Porterville, CA"
"Turlock, CA","Modesto, CA"
"Tustin, CA","Anaheim, CA"
"Union City, CA","Hayward, CA"
"Upland, CA","Riverside, CA"
"Vacaville, CA","Fairfield, CA"
"Vallejo, CA","Vallejo, CA"
"Victorville, CA","Riverside, CA"
"Visalia, CA","Visalia, CA"
"Vista, CA","Carlsbad, CA"
"Walnut Creek, CA","Oakland, CA"
"West Covina, CA","Anaheim, CA"
"Westminster, CA","Anaheim, CA"
"Whittier, CA","Anaheim, CA"
"Yorba Linda, CA","Anaheim, CA"
"Yuba City, CA","Yuba City, CA"
